GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08
Id,Id2,Geography,Estimate; Total:,Estimate; Own child:,Estimate; Own child: - Biological child,Estimate; Own child: - Adopted child,Estimate; Own child: - Stepchild,Estimate; Grandchild,Estimate; Other relatives,Estimate; Foster child or other unrelated child
0100000US,,United States,73521174,65030602,61203230,1506955,2320417,5541300,1737607,1211665
0400000US13,13,Georgia,2482590,2162373,2022880,50667,88826,214844,68928,36445
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,414,397,397,0,0,0,5,12
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,508,337,291,0,46,44,127,0
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,336,214,214,0,0,122,0,0
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,642,559,464,14,81,52,31,0
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,384,366,366,0,0,18,0,0
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,164,98,98,0,0,31,35,0
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,628,463,463,0,0,28,19,118
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,387,298,284,7,7,40,0,49
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,321,280,280,0,0,41,0,0
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,618,473,446,0,27,145,0,0
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,329,295,246,0,49,0,34,0
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,634,549,431,0,118,85,0,0
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,340,269,269,0,0,27,44,0
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,336,263,263,0,0,0,73,0
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,463,403,403,0,0,60,0,0
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,440,440,398,0,42,0,0,0
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,196,196,196,0,0,0,0,0
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,779,642,588,0,54,57,80,0
