GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - English only,Estimate; Total: - Spanish:,Estimate; Total: - Spanish: - Limited English speaking household,Estimate; Total: - Spanish: - Not a limited English speaking household,Estimate; Total: - Other Indo-European languages:,Estimate; Total: - Other Indo-European languages: - Limited English speaking household,Estimate; Total: - Other Indo-European languages: - Not a limited English speaking household,Estimate; Total: - Asian and Pacific Island languages:,Estimate; Total: - Asian and Pacific Island languages: - Limited English speaking household,Estimate; Total: - Asian and Pacific Island languages: - Not a limited English speaking household,Estimate; Total: - Other languages:,Estimate; Total: - Other languages: - Limited English speaking household,Estimate; Total: - Other languages: - Not a limited English speaking household
0100000US,,United States,116211092,92262712,13650173,3209846,10440327,5249224,827681,4421543,3901603,1041314,2860289,1147380,196431,950949
0400000US13,13,Georgia,3540690,3066396,253650,68335,185315,110731,12183,98548,78885,22098,56787,31028,4160,26868
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,480,370,92,18,74,18,0,18,0,0,0,0,0,0
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,308,250,5,0,5,0,0,0,39,0,39,14,0,14
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,255,235,0,0,0,0,0,0,0,0,0,20,0,20
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,967,835,78,0,78,18,0,18,6,0,6,30,11,19
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,499,480,0,0,0,19,7,12,0,0,0,0,0,0
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,268,258,0,0,0,0,0,0,0,0,0,10,0,10
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,659,524,33,0,33,19,0,19,0,0,0,83,0,83
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,431,340,83,16,67,0,0,0,8,8,0,0,0,0
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,322,216,68,0,68,0,0,0,38,0,38,0,0,0
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,443,376,57,8,49,0,0,0,10,0,10,0,0,0
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,274,162,53,0,53,35,0,35,24,13,11,0,0,0
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,465,290,146,46,100,13,0,13,16,0,16,0,0,0
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,282,217,56,22,34,0,0,0,9,0,9,0,0,0
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,346,306,24,0,24,0,0,0,16,6,10,0,0,0
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,461,433,18,18,0,0,0,0,0,0,0,10,0,10
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,209,153,56,30,26,0,0,0,0,0,0,0,0,0
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,233,120,76,0,76,0,0,0,0,0,0,37,0,37
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,653,288,326,170,156,0,0,0,32,21,11,7,0,7
1500000US130630403062,1.31E+11,Block Group 2 Census Tract 403.06 Clayton County Georgia,594,408,186,93,93,0,0,0,0,0,0,0,0,0
1500000US130630403071,1.31E+11,Block Group 1 Census Tract 403.07 Clayton County Georgia,538,358,122,59,63,17,0,17,41,33,8,0,0,0
1500000US130630403072,1.31E+11,Block Group 2 Census Tract 403.07 Clayton County Georgia,809,530,87,0,87,21,0,21,165,48,117,6,6,0
1500000US130630403081,1.31E+11,Block Group 1 Census Tract 403.08 Clayton County Georgia,728,425,265,111,154,30,0,30,8,8,0,0,0,0
