GEOID10,Total Beltline Zone,Northeast Study Area,Northside Study Area,Southeast Study Area,Southwest Study Area,Westside Study Area,Northeast Zone,Northside Zone,Southeast Zone,Southwest Zone,Westside Zone
1500000US130630402021,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402022,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402031,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402032,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402041,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402042,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402043,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403021,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403022,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403023,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403024,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403031,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403032,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403033,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403034,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403035,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403036,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403061,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403062,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403071,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403072,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403081,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403082,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403083,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404071,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404072,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404081,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404082,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404083,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404091,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404092,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404101,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404102,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404111,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404112,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404113,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404114,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404121,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404122,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404123,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404131,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404132,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404141,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404151,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404152,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404153,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404154,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404161,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404162,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404171,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404172,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404173,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405091,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405092,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405101,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405102,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405121,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405122,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405123,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405131,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405132,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405133,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405141,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405142,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405143,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405151,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405152,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405153,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405154,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405161,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405162,0,0,0,0,0,0,0,0,0,0,0
1500000US130630405163,0,0,0,0,0,0,0,0,0,0,0
