GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Estimate; Male: - 20 years,Estimate; Male: - 21 years,Estimate; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Estimate; Female:,Estimate; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Estimate; Female: - 20 years,Estimate; Female: - 21 years,Estimate; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Estimate; Female: - 85 years and over
0100000US,,United States,314107084,154515159,10205881,10437256,10590658,6482243,4548783,2454800,2385111,6622417,10845393,10457546,9869846,10399619,10740238,11046847,9989328,3639567,4974429,2915262,3616479,4666294,3328014,2362325,1936823,159591925,9767830,10023099,10108225,6162466,4317042,2335348,2271330,6338466,10599744,10407499,9932588,10520987,10985645,11475456,10633673,3920308,5439455,3223178,4077987,5494784,4231547,3442927,3882341
0400000US13,13,Georgia,9907756,4837995,342022,360041,356245,211928,152668,79886,74446,209045,337639,331265,323692,353325,346132,334336,286681,103396,146091,84313,104760,127162,84679,51469,36774,5069761,328863,340431,347539,201599,142517,75308,71569,203233,339810,346452,345606,364024,360981,354836,318155,115053,164706,97212,117789,154917,111687,83536,83938
1500000US130630402021,1.31E+11,"Block Group 1, Census Tract 402.02, Clayton County, Georgia",1280,563,68,35,31,51,32,12,0,25,57,87,21,25,37,28,0,0,16,38,0,0,0,0,0,717,49,104,36,40,43,0,0,57,71,93,69,21,0,73,32,4,6,14,5,0,0,0,0
1500000US130630402022,1.31E+11,"Block Group 2, Census Tract 402.02, Clayton County, Georgia",1307,620,61,60,77,107,16,7,0,11,37,32,30,22,43,12,26,35,19,22,0,3,0,0,0,687,15,32,95,61,24,16,4,32,98,41,34,16,103,16,17,27,30,6,12,8,0,0,0
1500000US130630402031,1.31E+11,"Block Group 1, Census Tract 402.03, Clayton County, Georgia",892,324,35,53,39,79,28,0,0,36,11,12,0,4,8,19,0,0,0,0,0,0,0,0,0,568,24,39,32,35,31,0,10,54,44,78,27,104,20,19,10,0,41,0,0,0,0,0,0
1500000US130630402032,1.31E+11,"Block Group 2, Census Tract 402.03, Clayton County, Georgia",2387,1203,129,80,142,52,20,42,0,82,79,68,102,112,79,86,33,18,39,0,0,0,23,0,17,1184,38,130,48,23,28,0,9,46,155,181,67,84,91,72,79,0,48,32,0,14,10,29,0
1500000US130630402041,1.31E+11,"Block Group 1, Census Tract 402.04, Clayton County, Georgia",1201,489,53,77,32,0,0,0,0,10,0,56,48,31,71,0,64,0,39,0,0,0,8,0,0,712,113,75,34,0,0,17,0,0,163,38,100,91,17,10,0,8,0,0,0,33,13,0,0
1500000US130630402042,1.31E+11,"Block Group 2, Census Tract 402.04, Clayton County, Georgia",691,390,0,12,19,0,0,0,0,42,17,24,45,67,42,89,10,0,23,0,0,0,0,0,0,301,24,62,47,0,0,0,0,17,21,0,0,0,37,55,0,0,0,0,18,0,13,0,7
1500000US130630402043,1.31E+11,"Block Group 3, Census Tract 402.04, Clayton County, Georgia",1805,824,95,120,18,48,11,0,0,28,50,96,67,161,59,36,28,7,0,0,0,0,0,0,0,981,103,78,123,43,44,0,0,64,86,68,115,56,22,93,48,0,10,14,0,5,9,0,0
