GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Estimate; Total: - Two or more races: - Two races excluding Some other race and three or more races
0100000US,,United States,314107084,231849713,39564785,2565520,15710659,535761,14754895,9125751,1528902,7596849
0400000US13,13,Georgia,9907756,5989234,3056726,25137,344195,4317,287276,200871,30163,170708
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,1280,39,1078,0,1,0,147,15,0,15
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,1307,82,953,16,237,0,0,19,0,19
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,892,0,848,44,0,0,0,0,0,0
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,2387,154,2176,0,20,0,0,37,37,0
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,1201,0,1168,0,0,0,0,33,0,33
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,691,170,521,0,0,0,0,0,0,0
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,1805,83,1667,0,0,0,55,0,0,0
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,1301,364,769,0,31,0,137,0,0,0
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,1096,627,299,0,96,0,74,0,0,0
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,1675,283,1265,0,114,0,0,13,13,0
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,1009,250,464,0,194,0,47,54,0,54
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,1873,838,635,0,119,0,281,0,0,0
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,1093,400,670,0,23,0,0,0,0,0
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,1212,161,910,0,141,0,0,0,0,0
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,1362,75,1287,0,0,0,0,0,0,0
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,820,262,471,0,0,0,73,14,14,0
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,780,552,171,0,0,0,35,22,0,22
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,2202,825,571,0,76,0,309,421,0,421
1500000US130630403062,1.31E+11,Block Group 2 Census Tract 403.06 Clayton County Georgia,1882,886,945,17,0,0,0,34,0,34
1500000US130630403071,1.31E+11,Block Group 1 Census Tract 403.07 Clayton County Georgia,1632,679,470,0,174,0,271,38,0,38
1500000US130630403072,1.31E+11,Block Group 2 Census Tract 403.07 Clayton County Georgia,2665,798,935,0,913,0,0,19,0,19
1500000US130630403081,1.31E+11,Block Group 1 Census Tract 403.08 Clayton County Georgia,2295,1101,830,0,17,0,151,196,0,196
1500000US130630403082,1.31E+11,Block Group 2 Census Tract 403.08 Clayton County Georgia,1625,658,807,0,125,0,0,35,0,35
1500000US130630403083,1.31E+11,Block Group 3 Census Tract 403.08 Clayton County Georgia,841,355,194,0,139,0,122,31,0,31
1500000US130630404071,1.31E+11,Block Group 1 Census Tract 404.07 Clayton County Georgia,1854,501,707,0,356,0,265,25,25,0
1500000US130630404072,1.31E+11,Block Group 2 Census Tract 404.07 Clayton County Georgia,2129,368,1267,0,217,0,148,129,66,63
1500000US130630404081,1.31E+11,Block Group 1 Census Tract 404.08 Clayton County Georgia,1841,675,639,245,282,0,0,0,0,0
