GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino
0100000US,,United States,314107084,261036988,53070096
0400000US13,13,Georgia,9907756,9011039,896717
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,1280,1113,167
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,1307,1307,0
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,892,892,0
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,2387,2187,200
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,1201,1049,152
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,691,691,0
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,1805,1717,88
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,1301,929,372
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,1096,653,443
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,1675,1580,95
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,1009,666,343
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,1873,1353,520
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,1093,965,128
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,1212,1186,26
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,1362,1304,58
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,820,505,315
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,780,315,465
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,2202,1097,1105
1500000US130630403062,1.31E+11,Block Group 2 Census Tract 403.06 Clayton County Georgia,1882,1065,817
1500000US130630403071,1.31E+11,Block Group 1 Census Tract 403.07 Clayton County Georgia,1632,1070,562
1500000US130630403072,1.31E+11,Block Group 2 Census Tract 403.07 Clayton County Georgia,2665,2409,256
1500000US130630403081,1.31E+11,Block Group 1 Census Tract 403.08 Clayton County Georgia,2295,1273,1022
1500000US130630403082,1.31E+11,Block Group 2 Census Tract 403.08 Clayton County Georgia,1625,1199,426
1500000US130630403083,1.31E+11,Block Group 3 Census Tract 403.08 Clayton County Georgia,841,543,298
1500000US130630404071,1.31E+11,Block Group 1 Census Tract 404.07 Clayton County Georgia,1854,1440,414
1500000US130630404072,1.31E+11,Block Group 2 Census Tract 404.07 Clayton County Georgia,2129,1749,380
1500000US130630404081,1.31E+11,Block Group 1 Census Tract 404.08 Clayton County Georgia,1841,1609,232
1500000US130630404082,1.31E+11,Block Group 2 Census Tract 404.08 Clayton County Georgia,3762,3626,136
1500000US130630404083,1.31E+11,Block Group 3 Census Tract 404.08 Clayton County Georgia,2292,2057,235
1500000US130630404091,1.31E+11,Block Group 1 Census Tract 404.09 Clayton County Georgia,2656,2246,410
1500000US130630404092,1.31E+11,Block Group 2 Census Tract 404.09 Clayton County Georgia,3072,2641,431
1500000US130630404101,1.31E+11,Block Group 1 Census Tract 404.10 Clayton County Georgia,5364,4345,1019
