GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; In households:,Estimate; In households: - In family households:,Estimate; In households: - In family households: - Householder:,Estimate; In households: - In family households: - Householder: - Male,Estimate; In households: - In family households: - Householder: - Female,Estimate; In households: - In family households: - Spouse,Estimate; In households: - In family households: - Parent,Estimate; In households: - In family households: - Parent-in-law,Estimate; In households: - In family households: - Other relatives,Estimate; In households: - In family households: - Nonrelatives,Estimate; In households: - In nonfamily households:,Estimate; In households: - In nonfamily households: - Householder:,Estimate; In households: - In nonfamily households: - Householder: - Male:,Estimate; In households: - In nonfamily households: - Householder: - Male: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Male: - Not living alone,Estimate; In households: - In nonfamily households: - Householder: - Female:,Estimate; In households: - In nonfamily households: - Householder: - Female: - Living alone,Estimate; In households: - In nonfamily households: - Householder: - Female: - Not living alone,Estimate; In households: - In nonfamily households: - Nonrelatives,Estimate; In group quarters
0100000US,,United States,43177961,41664871,28798105,14306102,9578023,4728079,10353091,2334728,695474,888580,220130,12866766,12228869,3766923,3433882,333041,8461946,8135994,325952,637897,1513090
0400000US13,13,Georgia,1138236,1105672,790370,391604,253602,138002,266589,75425,22508,28281,5963,315302,302136,91154,83721,7433,210982,204825,6157,13166,32564
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,57,57,57,23,9,14,5,0,0,19,10,0,0,0,0,0,0,0,0,0,0
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,51,51,42,27,10,17,15,0,0,0,0,9,9,0,0,0,9,0,9,0,0
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,125,125,83,44,23,21,39,0,0,0,0,42,42,0,0,0,42,42,0,0,0
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,54,54,35,21,8,13,0,0,0,14,0,19,19,0,0,0,19,19,0,0,0
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,38,38,20,7,0,7,0,13,0,0,0,18,18,0,0,0,18,18,0,0,0
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,28,28,5,5,0,5,0,0,0,0,0,23,23,0,0,0,23,23,0,0,0
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,75,75,57,24,0,24,12,0,0,21,0,18,18,11,11,0,7,7,0,0,0
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,169,169,153,58,35,23,77,18,0,0,0,16,16,0,0,0,16,16,0,0,0
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,63,63,46,13,13,0,10,0,23,0,0,17,17,17,17,0,0,0,0,0,0
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,91,91,73,38,24,14,17,0,0,18,0,18,18,18,18,0,0,0,0,0,0
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,162,162,143,99,7,92,17,0,0,0,27,19,19,19,19,0,0,0,0,0,0
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,44,32,32,32,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,99,99,99,17,0,17,0,27,55,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,45,45,45,37,27,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,32,32,32,15,8,7,7,6,4,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,47,47,15,7,0,7,8,0,0,0,0,32,19,8,0,8,11,11,0,13,0
1500000US130630403061,1.31E+11,Block Group 1 Census Tract 403.06 Clayton County Georgia,79,79,44,32,11,21,12,0,0,0,0,35,35,27,27,0,8,8,0,0,0
1500000US130630403062,1.31E+11,Block Group 2 Census Tract 403.06 Clayton County Georgia,31,31,0,0,0,0,0,0,0,0,0,31,31,0,0,0,31,31,0,0,0
1500000US130630403071,1.31E+11,Block Group 1 Census Tract 403.07 Clayton County Georgia,162,162,151,100,81,19,51,0,0,0,0,11,11,0,0,0,11,11,0,0,0
1500000US130630403072,1.31E+11,Block Group 2 Census Tract 403.07 Clayton County Georgia,323,323,204,93,65,28,30,39,0,42,0,119,106,27,27,0,79,74,5,13,0
1500000US130630403081,1.31E+11,Block Group 1 Census Tract 403.08 Clayton County Georgia,188,188,40,32,10,22,0,8,0,0,0,148,142,33,33,0,109,102,7,6,0
1500000US130630403082,1.31E+11,Block Group 2 Census Tract 403.08 Clayton County Georgia,215,215,94,33,23,10,20,8,33,0,0,121,37,29,16,13,8,8,0,84,0
1500000US130630403083,1.31E+11,Block Group 3 Census Tract 403.08 Clayton County Georgia,68,68,59,32,12,20,20,7,0,0,0,9,9,0,0,0,9,9,0,0,0
1500000US130630404071,1.31E+11,Block Group 1 Census Tract 404.07 Clayton County Georgia,209,209,147,49,21,28,18,44,0,23,13,62,62,18,18,0,44,41,3,0,0
