GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
0100000US,,United States,116211092,30294116,11569876,18724240,17886405,837835,85916976,20466896,65450080,59071659,6378421
0400000US13,13,Georgia,3540690,804222,288546,515676,498444,17232,2736468,656102,2080366,1908654,171712
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,480,23,0,23,23,0,457,160,297,281,16
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,308,36,0,36,27,9,272,67,205,198,7
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,255,0,0,0,0,0,255,63,192,192,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,967,86,42,44,44,0,881,400,481,433,48
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,499,50,19,31,31,0,449,227,222,209,13
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,268,35,18,17,17,0,233,144,89,56,33
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,659,28,23,5,5,0,631,276,355,328,27
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,431,42,18,24,24,0,389,96,293,207,86
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,322,93,16,77,77,0,229,44,185,154,31
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,443,40,17,23,23,0,403,141,262,254,8
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,274,65,18,47,47,0,209,64,145,135,10
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,465,118,19,99,99,0,347,89,258,230,28
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,282,32,0,32,32,0,250,55,195,181,14
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,346,50,0,50,50,0,296,64,232,219,13
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,461,37,0,37,37,0,424,59,365,365,0
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,209,18,0,18,18,0,191,25,166,166,0
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,233,26,11,15,7,8,207,73,134,134,0
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,653,67,35,32,32,0,586,134,452,347,105
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,594,31,31,0,0,0,563,143,420,420,0
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,538,111,11,100,100,0,427,159,268,258,10
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,809,267,101,166,161,5,542,106,436,409,27
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,728,174,135,39,32,7,554,147,407,349,58
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,499,110,24,86,51,35,389,91,298,291,7
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,253,52,9,43,43,0,201,39,162,125,37
1500000US130630404071,130630000000,Block Group 1 Census Tract 404.07 Clayton County Georgia,525,142,59,83,80,3,383,56,327,320,7
1500000US130630404072,130630000000,Block Group 2 Census Tract 404.07 Clayton County Georgia,608,143,83,60,56,4,465,54,411,390,21
1500000US130630404081,130630000000,Block Group 1 Census Tract 404.08 Clayton County Georgia,662,208,17,191,191,0,454,220,234,197,37
