GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Never married,Estimate; Male: - Now married:,Estimate; Male: - Now married: - Married spouse present,Estimate; Male: - Now married: - Married spouse absent:,Estimate; Male: - Now married: - Married spouse absent: - Separated,Estimate; Male: - Now married: - Married spouse absent: - Other,Estimate; Male: - Widowed,Estimate; Male: - Divorced,Estimate; Female:,Estimate; Female: - Never married,Estimate; Female: - Now married:,Estimate; Female: - Now married: - Married spouse present,Estimate; Female: - Now married: - Married spouse absent:,Estimate; Female: - Now married: - Married spouse absent: - Separated,Estimate; Female: - Now married: - Married spouse absent: - Other,Estimate; Female: - Widowed,Estimate; Female: - Divorced
0100000US,,United States,252974135,123281364,44100702,64157161,58308249,5848912,2254810,3594102,3166898,11856603,129692771,38239034,63802064,57367020,6435044,3231201,3203843,11878014,15773659
0400000US13,13,Georgia,7832615,3779687,1369925,1952880,1753609,199271,80826,118445,87483,369399,4052928,1237536,1944570,1720772,223798,116803,106995,349538,521284
1500000US130630402021,1.31E+11,Block Group 1 Census Tract 402.02 Clayton County Georgia,957,429,204,128,106,22,14,8,10,87,528,296,156,94,62,52,10,21,55
1500000US130630402022,1.31E+11,Block Group 2 Census Tract 402.02 Clayton County Georgia,967,422,263,115,71,44,16,28,0,44,545,239,167,63,104,59,45,43,96
1500000US130630402031,1.31E+11,Block Group 1 Census Tract 402.03 Clayton County Georgia,670,197,155,42,42,0,0,0,0,0,473,359,56,48,8,0,8,23,35
1500000US130630402032,1.31E+11,Block Group 2 Census Tract 402.03 Clayton County Georgia,1820,852,371,342,292,50,19,31,22,117,968,420,334,271,63,35,28,55,159
1500000US130630402041,1.31E+11,Block Group 1 Census Tract 402.04 Clayton County Georgia,817,327,56,171,112,59,42,17,0,100,490,247,146,97,49,49,0,33,64
1500000US130630402042,1.31E+11,Block Group 2 Census Tract 402.04 Clayton County Georgia,527,359,226,93,16,77,34,43,0,40,168,111,33,20,13,0,13,7,17
1500000US130630402043,1.31E+11,Block Group 3 Census Tract 402.04 Clayton County Georgia,1268,591,347,171,123,48,48,0,0,73,677,251,262,116,146,46,100,10,154
1500000US130630403021,1.31E+11,Block Group 1 Census Tract 403.02 Clayton County Georgia,953,517,249,200,127,73,73,0,21,47,436,215,147,103,44,38,6,22,52
1500000US130630403022,1.31E+11,Block Group 2 Census Tract 403.02 Clayton County Georgia,775,355,107,221,169,52,0,52,0,27,420,186,179,158,21,21,0,23,32
1500000US130630403023,1.31E+11,Block Group 3 Census Tract 403.02 Clayton County Georgia,1238,706,461,187,144,43,43,0,0,58,532,218,214,129,85,42,43,72,28
1500000US130630403024,1.31E+11,Block Group 4 Census Tract 403.02 Clayton County Georgia,783,344,116,162,122,40,40,0,18,48,439,236,173,108,65,33,32,14,16
1500000US130630403031,1.31E+11,Block Group 1 Census Tract 403.03 Clayton County Georgia,1298,747,320,275,185,90,71,19,39,113,551,219,171,171,0,0,0,46,115
1500000US130630403032,1.31E+11,Block Group 2 Census Tract 403.03 Clayton County Georgia,767,329,198,60,37,23,23,0,0,71,438,241,35,35,0,0,0,23,139
1500000US130630403033,1.31E+11,Block Group 3 Census Tract 403.03 Clayton County Georgia,916,323,140,127,127,0,0,0,16,40,593,244,141,124,17,17,0,102,106
1500000US130630403034,1.31E+11,Block Group 4 Census Tract 403.03 Clayton County Georgia,899,332,162,149,149,0,0,0,0,21,567,334,129,129,0,0,0,10,94
1500000US130630403035,1.31E+11,Block Group 5 Census Tract 403.03 Clayton County Georgia,382,203,26,163,149,14,8,6,0,14,179,42,133,133,0,0,0,4,0
1500000US130630403036,1.31E+11,Block Group 6 Census Tract 403.03 Clayton County Georgia,598,228,136,17,17,0,0,0,0,75,370,107,172,15,157,20,137,0,91
