GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - No schooling completed,Estimate; Total: - Nursery school,Estimate; Total: - Kindergarten,Estimate; Total: - 1st grade,Estimate; Total: - 2nd grade,Estimate; Total: - 3rd grade,Estimate; Total: - 4th grade,Estimate; Total: - 5th grade,Estimate; Total: - 6th grade,Estimate; Total: - 7th grade,Estimate; Total: - 8th grade,Estimate; Total: - 9th grade,Estimate; Total: - 10th grade,Estimate; Total: - 11th grade,Estimate; Total: - 12th grade no diploma,Estimate; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Estimate; Total: - Some college less than 1 year,Estimate; Total: - Some college 1 or more years no degree,Estimate; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Estimate; Total: - Professional school degree,Estimate; Total: - Doctorate degree
0100000US,,United States,"209,056,129","2,886,666","28,612","38,463","140,352","316,010","656,325","516,574","728,363","2,768,475","1,054,643","3,059,196","3,555,052","4,264,386","4,813,043","3,761,588","50,169,338","8,271,262","13,102,493","31,139,065","16,580,076","38,184,668","16,246,947","4,088,689","2,685,843"
0400000US13,13,Georgia,6410416,84070,793,1219,4189,7230,18092,14039,22055,70898,45038,91783,136647,174761,178713,109833,1518683,313403,365871,986669,451537,1148710,468554,122826,74803
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,697,0,0,0,0,0,0,0,0,18,0,19,46,0,14,4,287,71,26,119,25,35,33,0,0
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,689,69,0,0,0,0,0,0,0,0,0,0,4,12,0,28,328,11,81,76,30,42,4,0,4
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,397,0,0,0,0,0,0,0,0,0,0,0,0,46,37,48,101,0,19,73,46,19,8,0,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,1518,11,0,0,11,0,0,0,0,0,0,24,16,12,42,7,468,44,121,406,104,177,69,6,0
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,790,0,7,0,0,0,0,0,0,0,0,0,0,0,21,8,244,56,0,191,78,151,34,0,0
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,468,0,0,0,0,0,0,13,0,0,0,14,0,22,76,24,75,33,8,63,72,11,39,0,18
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,1030,0,0,0,0,0,0,0,0,0,28,0,0,65,26,16,160,62,85,290,142,111,32,13,0
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,703,19,0,0,0,0,0,0,0,61,33,0,20,41,26,19,191,7,111,62,64,49,0,0,0
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,686,23,0,0,0,0,0,0,0,14,0,0,52,59,25,0,273,24,12,89,24,73,18,0,0
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,869,14,0,0,0,0,0,0,0,0,31,0,0,21,17,21,231,57,238,99,69,27,44,0,0
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,558,13,0,0,0,0,0,18,0,0,0,15,19,46,0,47,192,43,37,34,66,18,0,10,0
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,1041,10,0,0,0,0,0,0,0,87,33,33,73,67,52,0,395,77,62,38,0,114,0,0,0
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,534,0,0,0,0,0,0,0,0,0,0,18,0,37,12,37,153,27,24,75,73,30,34,14,0
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,844,16,0,0,0,0,21,0,0,0,12,0,47,75,99,0,334,64,14,100,17,35,10,0,0
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,836,0,0,0,0,0,0,0,0,27,18,10,0,0,0,0,345,26,0,244,133,33,0,0,0
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,380,6,0,0,0,0,0,0,0,66,0,38,14,45,7,2,50,65,0,53,0,34,0,0,0
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,584,0,0,0,100,0,0,0,0,133,0,23,0,10,0,0,99,30,74,66,22,18,0,9,0
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,1215,120,0,0,0,0,0,0,21,132,0,44,40,89,62,22,251,92,58,123,84,61,0,0,16
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,795,20,0,0,0,0,0,26,0,92,0,0,23,73,122,32,63,67,0,189,8,24,56,0,0
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,1064,34,0,0,0,0,0,17,10,79,0,122,63,38,40,54,277,15,56,149,40,50,10,0,10
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,1694,13,0,0,0,33,26,0,39,21,83,74,0,65,87,45,315,125,89,131,198,284,66,0,0
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,1578,45,0,22,0,0,0,10,0,58,76,23,143,61,124,18,455,164,84,218,12,39,16,10,0
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,1125,24,0,0,20,0,4,0,40,16,8,23,29,0,55,55,357,128,88,80,42,129,27,0,0
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,546,0,0,0,0,0,0,0,17,52,0,78,23,21,0,27,136,53,44,40,11,40,4,0,0
1500000US130630404071,130630000000,Block Group 1 Census Tract 404.07 Clayton County Georgia,1289,35,0,0,0,0,0,0,27,47,28,19,56,43,108,0,522,38,46,218,23,68,11,0,0
1500000US130630404072,130630000000,Block Group 2 Census Tract 404.07 Clayton County Georgia,1215,21,0,0,0,0,0,0,12,13,33,27,60,68,87,4,345,60,60,198,35,123,69,0,0
1500000US130630404081,130630000000,Block Group 1 Census Tract 404.08 Clayton County Georgia,1210,0,0,0,0,0,13,0,0,0,39,36,14,11,46,57,352,101,38,185,80,212,13,13,0
1500000US130630404082,130630000000,Block Group 2 Census Tract 404.08 Clayton County Georgia,2137,11,0,0,0,0,0,0,7,54,12,111,60,67,140,54,416,270,203,388,117,184,27,16,0
1500000US130630404083,130630000000,Block Group 3 Census Tract 404.08 Clayton County Georgia,1617,72,0,0,0,25,52,0,69,22,0,23,19,19,108,25,253,72,59,262,97,315,96,29,0
1500000US130630404091,130630000000,Block Group 1 Census Tract 404.09 Clayton County Georgia,1664,40,0,0,0,9,0,0,8,10,24,0,81,69,15,78,625,127,66,324,66,89,27,6,0
1500000US130630404092,130630000000,Block Group 2 Census Tract 404.09 Clayton County Georgia,1878,29,0,0,53,0,5,0,54,58,9,63,23,26,0,26,560,67,121,399,163,124,81,13,4
1500000US130630404101,130630000000,Block Group 1 Census Tract 404.10 Clayton County Georgia,2993,48,0,0,0,0,13,56,20,36,99,30,223,131,78,59,828,131,242,415,157,283,100,44,0
