GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18
Id,Id2,Geography,Estimate; Total:,Estimate; Science and Engineering - Computers Mathematics and Statistics,Estimate; Science and Engineering - Biological Agricultural and Environmental Sciences,Estimate; Science and Engineering - Physical and Related Sciences,Estimate; Science and Engineering - Psychology,Estimate; Science and Engineering - Social Sciences,Estimate; Science and Engineering - Engineering,Estimate; Science and Engineering - Multidisciplinary Studies,Estimate; Science and Engineering Related Fields,Estimate; Business,Estimate; Education,Estimate; Arts Humanities and Other - Literature and Languages,Estimate; Arts Humanities and Other - Liberal Arts and History,Estimate; Arts Humanities and Other - Visual and Performing Arts,Estimate; Arts Humanities and Other - Communications,Estimate; Arts Humanities and Other - Other
0100000US,,United States,65865014,2890558,3965342,2267332,3190095,5391780,4910452,447469,5977837,12954695,8613282,3065563,3456817,2705962,2507925,3519905
0400000US13,13,Georgia,1929452,94895,102101,56565,90996,135553,133524,10066,169502,459535,263593,74762,86966,68504,74725,108165
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,68,0,0,0,6,0,0,0,17,18,21,0,0,0,0,6
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,50,2,3,4,0,0,0,0,0,4,6,17,0,0,0,14
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,27,0,0,0,0,0,0,0,8,8,0,0,0,0,7,4
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,263,0,6,23,23,11,23,0,39,39,31,0,16,0,41,11
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,185,0,11,0,28,0,0,0,0,79,13,0,20,0,22,12
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,68,0,0,0,0,0,0,0,0,38,12,0,0,0,0,18
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,156,46,0,0,0,26,0,0,15,18,0,9,0,0,0,42
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,49,0,0,0,0,0,0,0,20,0,0,0,0,29,0,0
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,91,46,6,0,0,0,7,0,0,20,0,0,0,5,7,0
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,71,31,0,0,27,0,0,0,13,0,0,0,0,0,0,0
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,28,0,5,0,0,0,0,0,0,13,0,0,0,0,0,10
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,144,0,0,0,0,30,0,30,71,0,0,0,0,13,0,0
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,78,14,0,34,0,0,0,0,0,0,17,0,0,0,0,13
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,45,8,10,0,0,0,0,0,0,0,0,0,27,0,0,0
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,33,0,0,0,0,0,0,0,0,10,0,0,0,23,0,0
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,27,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,77,18,0,16,0,0,0,0,0,17,0,0,10,0,0,16
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,104,11,0,0,21,0,0,0,0,48,0,0,0,13,0,11
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,70,0,0,0,0,0,0,0,0,50,0,0,10,0,0,10
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,367,31,6,0,34,6,21,0,62,50,41,25,59,5,27,0
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,65,0,10,0,0,8,0,0,7,0,17,0,8,0,0,15
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,156,15,21,0,0,19,44,0,0,46,11,0,0,0,0,0
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,53,0,0,0,4,0,0,0,0,18,13,9,0,0,9,0
1500000US130630404071,130630000000,Block Group 1 Census Tract 404.07 Clayton County Georgia,96,0,0,0,6,17,0,0,0,8,21,0,17,16,0,11
1500000US130630404072,130630000000,Block Group 2 Census Tract 404.07 Clayton County Georgia,192,7,0,0,4,0,0,0,14,20,48,4,12,12,13,58
1500000US130630404081,130630000000,Block Group 1 Census Tract 404.08 Clayton County Georgia,238,23,19,0,57,0,0,0,19,94,26,0,0,0,0,0
1500000US130630404082,130630000000,Block Group 2 Census Tract 404.08 Clayton County Georgia,227,27,0,0,0,16,0,41,33,37,69,0,4,0,0,0
1500000US130630404083,130630000000,Block Group 3 Census Tract 404.08 Clayton County Georgia,471,27,53,0,0,17,36,0,33,102,52,10,0,73,41,27
1500000US130630404091,130630000000,Block Group 1 Census Tract 404.09 Clayton County Georgia,137,11,7,14,0,14,0,0,8,45,8,0,0,0,18,12
1500000US130630404092,130630000000,Block Group 2 Census Tract 404.09 Clayton County Georgia,259,0,0,31,0,10,7,0,7,62,64,7,29,13,0,29
1500000US130630404101,130630000000,Block Group 1 Census Tract 404.10 Clayton County Georgia,427,50,102,0,44,0,0,0,0,78,16,0,0,20,14,103
1500000US130630404102,130630000000,Block Group 2 Census Tract 404.10 Clayton County Georgia,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630404111,130630000000,Block Group 1 Census Tract 404.11 Clayton County Georgia,532,63,20,0,108,20,127,0,0,96,36,0,0,0,0,62
1500000US130630404112,130630000000,Block Group 2 Census Tract 404.11 Clayton County Georgia,411,0,26,0,43,68,0,0,1,68,12,0,0,21,59,113
1500000US130630404113,130630000000,Block Group 3 Census Tract 404.11 Clayton County Georgia,545,66,32,39,35,17,15,0,131,116,39,0,55,0,0,0
1500000US130630404114,130630000000,Block Group 4 Census Tract 404.11 Clayton County Georgia,864,80,0,17,13,24,0,0,132,107,261,7,83,0,115,25
1500000US130630404121,130630000000,Block Group 1 Census Tract 404.12 Clayton County Georgia,117,0,10,5,0,41,0,0,0,61,0,0,0,0,0,0
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,508,0,0,0,116,41,0,0,0,126,15,19,0,90,0,101
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,325,17,16,0,0,55,0,9,32,120,65,0,11,0,0,0
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,299,30,10,10,20,25,0,0,31,128,0,0,31,0,0,14
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,828,15,108,0,39,44,0,0,85,219,105,35,0,0,69,109
1500000US130630404141,130630000000,Block Group 1 Census Tract 404.14 Clayton County Georgia,83,0,8,20,0,11,0,0,0,24,12,0,0,0,8,0
1500000US130630404151,130630000000,Block Group 1 Census Tract 404.15 Clayton County Georgia,88,35,0,9,0,0,0,0,0,22,0,0,22,0,0,0
1500000US130630404152,130630000000,Block Group 2 Census Tract 404.15 Clayton County Georgia,226,0,95,0,0,0,0,0,0,95,0,0,0,0,36,0
1500000US130630404153,130630000000,Block Group 3 Census Tract 404.15 Clayton County Georgia,50,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0
1500000US130630404154,130630000000,Block Group 4 Census Tract 404.15 Clayton County Georgia,87,0,28,0,0,0,0,0,0,38,0,0,0,0,0,21
1500000US130630404161,130630000000,Block Group 1 Census Tract 404.16 Clayton County Georgia,76,0,7,0,5,40,0,0,0,0,17,0,0,0,7,0
1500000US130630404162,130630000000,Block Group 2 Census Tract 404.16 Clayton County Georgia,25,0,0,0,0,0,0,0,6,0,10,0,0,9,0,0
1500000US130630404171,130630000000,Block Group 1 Census Tract 404.17 Clayton County Georgia,156,0,72,0,0,9,10,0,0,54,0,0,0,0,11,0
1500000US130630404172,130630000000,Block Group 2 Census Tract 404.17 Clayton County Georgia,52,0,25,0,8,0,0,0,11,0,0,0,0,0,8,0
1500000US130630404173,130630000000,Block Group 3 Census Tract 404.17 Clayton County Georgia,111,14,0,0,0,0,0,20,0,0,51,0,0,0,0,26
1500000US130630405091,130630000000,Block Group 1 Census Tract 405.09 Clayton County Georgia,319,7,21,0,0,40,12,0,50,58,63,0,9,0,34,25
1500000US130630405092,130630000000,Block Group 2 Census Tract 405.09 Clayton County Georgia,371,20,19,8,36,54,18,0,39,75,29,10,0,5,23,35
1500000US130630405101,130630000000,Block Group 1 Census Tract 405.10 Clayton County Georgia,208,0,0,15,19,0,15,0,31,35,62,0,0,0,6,25
1500000US130630405102,130630000000,Block Group 2 Census Tract 405.10 Clayton County Georgia,154,0,18,0,0,15,0,0,20,42,15,0,0,0,0,44
1500000US130630405121,130630000000,Block Group 1 Census Tract 405.12 Clayton County Georgia,243,0,0,0,23,40,0,0,61,82,7,10,10,0,0,10
1500000US130630405122,130630000000,Block Group 2 Census Tract 405.12 Clayton County Georgia,95,0,22,0,16,0,12,0,0,0,22,23,0,0,0,0
