GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30
Id,Id2,Geography,Estimate; Total:,Estimate; With own children under 18 years:,Estimate; With own children under 18 years: - Under 6 years only:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years only: - Not in labor force,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian:,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - Under 6 years and 6 to 17 years: - Not in labor force,Estimate; With own children under 18 years: - 6 to 17 years only:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - In Armed Forces,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian:,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Employed,Estimate; With own children under 18 years: - 6 to 17 years only: - In labor force: - Civilian: - Unemployed,Estimate; With own children under 18 years: - 6 to 17 years only: - Not in labor force,Estimate; No own children under 18 years:,Estimate; No own children under 18 years: - In labor force:,Estimate; No own children under 18 years: - In labor force: - In Armed Forces,Estimate; No own children under 18 years: - In labor force: - Civilian:,Estimate; No own children under 18 years: - In labor force: - Civilian: - Employed,Estimate; No own children under 18 years: - In labor force: - Civilian: - Unemployed,Estimate; No own children under 18 years: - Not in labor force
0100000US,,United States,93701201,34198191,8048500,5661847,17431,5644416,5062924,581492,2386653,6921560,4467584,7476,4460108,3974757,485351,2453976,19228131,14845326,14184,14831142,13712602,1118540,4382805,59503010,43200392,53288,43147104,39755579,3391525,16302618
0400000US13,13,Georgia,3025884,1145908,264071,183962,914,183048,158444,24604,80109,237077,156376,230,156146,134936,21210,80701,644760,493667,878,492789,449505,43284,151093,1879976,1307211,2117,1305094,1178564,126530,572765
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,425,176,36,36,0,36,18,18,0,58,30,0,30,15,15,28,82,77,0,77,52,25,5,249,201,0,201,191,10,48
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,434,179,22,22,0,22,22,0,0,21,21,0,21,21,0,0,136,136,0,136,133,3,0,255,206,0,206,199,7,49
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,407,156,12,12,0,12,12,0,0,94,94,0,94,66,28,0,50,30,0,30,30,0,20,251,188,0,188,116,72,63
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,832,280,37,26,0,26,26,0,11,124,114,0,114,103,11,10,119,107,0,107,92,15,12,552,435,0,435,377,58,117
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,444,207,86,67,0,67,57,10,19,67,53,0,53,53,0,14,54,54,0,54,54,0,0,237,148,0,148,107,41,89
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,130,45,8,8,0,8,8,0,0,17,17,0,17,0,17,0,20,0,0,0,0,0,20,85,30,0,30,13,17,55
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,562,229,89,89,34,55,55,0,0,13,0,0,0,0,0,13,127,127,0,127,99,28,0,333,278,0,278,264,14,55
