GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0100000US,,United States,70218803,23202576,14822627,8640751,5504743,448363,228770,8379949,1842355,1644680,197675,6537594,4746218,1791376,47016227,31007991,20166611,9017775,1238499,585106,16008236,3374915,2973224,401691,12633321,10108079,2525242
0400000US13,13,Georgia,2351971,778876,466869,267888,178863,13635,6483,312007,60499,53184,7315,251508,186949,64559,1573095,979636,625162,294855,40820,18799,593459,102905,89026,13879,490554,397248,93306
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,397,132,75,42,22,0,11,57,0,0,0,57,57,0,265,152,72,68,0,12,113,0,0,0,113,107,6
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,433,93,0,0,0,0,0,93,27,27,0,66,66,0,340,27,27,0,0,0,313,64,64,0,249,249,0
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,336,104,5,5,0,0,0,99,0,0,0,99,99,0,232,46,22,24,0,0,186,0,0,0,186,186,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,596,252,124,100,24,0,0,128,0,0,0,128,103,25,344,209,129,36,44,0,135,0,0,0,135,135,0
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,384,222,139,96,43,0,0,83,0,0,0,83,74,9,162,63,43,0,20,0,99,0,0,0,99,90,9
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,133,33,0,0,0,0,0,33,0,0,0,33,33,0,100,35,0,35,0,0,65,41,41,0,24,24,0
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,497,230,101,72,29,0,0,129,61,61,0,68,68,0,267,46,33,13,0,0,221,0,0,0,221,221,0
