GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Worked in the past 12 months:,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 1 to 13 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 1 to 13 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 1 to 13 weeks,Estimate; Male: - Did not work in the past 12 months,Estimate; Female:,Estimate; Female: - Worked in the past 12 months:,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 1 to 13 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 1 to 13 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 1 to 13 weeks,Estimate; Female: - Did not work in the past 12 months
0100000US,,United States,205597667,102302536,80444338,66409820,55168901,1130561,2782761,2829979,2189763,2307855,11266608,4933390,288244,1050898,1560892,1456805,1976379,2767910,704079,49800,180896,318414,409397,1105324,21858198,103295131,73046693,50220441,41590711,855673,2457468,2066858,1550945,1698786,18262920,9667487,531789,1746334,2193139,1860624,2263547,4563332,1254987,116263,395722,611707,677453,1507200,30248438
0400000US13,13,Georgia,6555341,3218740,2426193,2023485,1694399,33716,81868,80515,65044,67943,324018,132452,8260,32076,47690,42921,60619,78690,20276,1399,5186,8338,10377,33114,792547,3336601,2235981,1598086,1333565,27739,68562,64655,48829,54736,513078,259859,13422,48229,66443,55539,69586,124817,31042,3144,9758,15666,18822,46385,1100620
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,883,391,273,209,157,0,0,23,8,21,55,0,0,9,13,0,33,9,0,0,0,0,0,9,118,492,354,221,177,0,0,1,0,43,123,33,11,25,18,36,0,10,0,0,0,0,0,10,138
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,894,375,190,165,123,0,7,26,9,0,25,7,0,7,0,0,11,0,0,0,0,0,0,0,185,519,391,266,194,22,39,11,0,0,103,96,0,0,0,7,0,22,22,0,0,0,0,0,128
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,608,170,89,72,54,0,0,0,0,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,81,438,252,157,153,0,4,0,0,0,95,60,0,0,18,0,17,0,0,0,0,0,0,0,186
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,1673,790,516,436,304,0,32,44,12,44,80,10,0,0,27,0,43,0,0,0,0,0,0,0,274,883,660,502,394,0,11,21,20,56,107,56,0,20,0,0,31,51,0,0,32,0,5,14,223
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,763,319,232,232,178,0,22,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,444,419,278,130,0,31,39,78,0,141,106,0,0,35,0,0,0,0,0,0,0,0,0,25
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,489,359,318,271,240,0,0,0,0,31,47,35,0,0,0,0,12,0,0,0,0,0,0,0,41,130,110,89,0,0,0,72,0,17,21,21,0,0,0,0,0,0,0,0,0,0,0,0,20
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,1240,591,430,380,282,40,0,36,22,0,50,19,0,0,31,0,0,0,0,0,0,0,0,0,161,649,516,405,331,0,14,11,11,38,99,20,0,20,28,9,22,12,0,0,12,0,0,0,133
