GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31
Id,Id2,Geography,Estimate; Total:,Estimate; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - With a disability:,Estimate; Income in the past 12 months below poverty level: - With a disability: - In labor force:,Estimate; Income in the past 12 months below poverty level: - With a disability: - In labor force: - In Armed Forces,Estimate; Income in the past 12 months below poverty level: - With a disability: - In labor force: - Civilian:,Estimate; Income in the past 12 months below poverty level: - With a disability: - In labor force: - Civilian: - Employed,Estimate; Income in the past 12 months below poverty level: - With a disability: - In labor force: - Civilian: - Unemployed,Estimate; Income in the past 12 months below poverty level: - With a disability: - Not in labor force,Estimate; Income in the past 12 months below poverty level: - No disability:,Estimate; Income in the past 12 months below poverty level: - No disability: - In labor force:,Estimate; Income in the past 12 months below poverty level: - No disability: - In labor force: - In Armed Forces,Estimate; Income in the past 12 months below poverty level: - No disability: - In labor force: - Civilian:,Estimate; Income in the past 12 months below poverty level: - No disability: - In labor force: - Civilian: - Employed,Estimate; Income in the past 12 months below poverty level: - No disability: - In labor force: - Civilian: - Unemployed,Estimate; Income in the past 12 months below poverty level: - No disability: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - With a disability:,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - In labor force: - In Armed Forces,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - In labor force: - Civilian:,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - In labor force: - Civilian: - Employed,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - In labor force: - Civilian: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - With a disability: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level: - No disability:,Estimate; Income in the past 12 months at or above poverty level: - No disability: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - No disability: - In labor force: - In Armed Forces,Estimate; Income in the past 12 months at or above poverty level: - No disability: - In labor force: - Civilian:,Estimate; Income in the past 12 months at or above poverty level: - No disability: - In labor force: - Civilian: - Employed,Estimate; Income in the past 12 months at or above poverty level: - No disability: - In labor force: - Civilian: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - No disability: - Not in labor force
0100000US,,United States,184561535,26235361,5361003,1322930,702,1322228,742553,579675,4038073,20874358,12549945,13781,12536164,8984315,3551849,8324413,158326174,13838470,6614549,29163,6585386,5760938,824448,7223921,144487704,124052240,656374,123395866,116075104,7320762,20435464
0400000US13,13,Georgia,5834447,962418,186626,45058,3,45055,23747,21308,141568,775792,465664,736,464928,321127,143801,310128,4872029,451186,200993,1799,199194,170666,28528,250193,4420843,3761295,30392,3730903,3481779,249124,659548
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,734,232,9,8,0,8,8,0,1,223,164,0,164,100,64,59,502,68,25,0,25,17,8,43,434,408,0,408,339,69,26
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,708,206,9,0,0,0,0,0,9,197,184,0,184,141,43,13,502,57,25,0,25,25,0,32,445,380,0,380,369,11,65
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,497,155,40,35,0,35,0,35,5,115,67,0,67,17,50,48,342,20,0,0,0,0,0,20,322,312,0,312,291,21,10
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,1572,402,97,0,0,0,0,0,97,305,269,0,269,168,101,36,1170,165,62,0,62,37,25,103,1005,893,0,893,836,57,112
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,763,184,0,0,0,0,0,0,0,184,106,0,106,106,0,78,579,38,0,0,0,0,0,38,541,426,0,426,347,79,115
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,489,136,36,36,0,36,21,15,0,100,47,0,47,31,16,53,353,55,0,0,0,0,0,55,298,290,0,290,256,34,8
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,1094,269,61,15,0,15,8,7,46,208,147,0,147,114,33,61,825,48,41,34,7,7,0,7,777,768,0,768,697,71,9
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,800,235,10,0,0,0,0,0,10,225,187,0,187,165,22,38,565,22,22,0,22,18,4,0,543,494,0,494,451,43,49
