GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Worked in the past 12 months:,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 1 to 13 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 1 to 13 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week:,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 50 to 52 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 48 and 49 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 40 to 47 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 27 to 39 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 14 to 26 weeks,Estimate; Male: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 1 to 13 weeks,Estimate; Male: - Did not work in the past 12 months,Estimate; Female:,Estimate; Female: - Worked in the past 12 months:,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 35 or more hours per week: - 1 to 13 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 15 to 34 hours per week: - 1 to 13 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week:,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 50 to 52 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 48 and 49 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 40 to 47 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 27 to 39 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 14 to 26 weeks,Estimate; Female: - Worked in the past 12 months: - Usually worked 1 to 14 hours per week: - 1 to 13 weeks,Estimate; Female: - Did not work in the past 12 months
0100000US,,United States,43177961,18825197,4627913,2624828,2037287,48800,118405,132225,126446,161665,1395814,692174,51640,150007,171947,144918,185128,607271,173035,17713,52053,66124,76300,222046,14197284,24352764,3776656,1681426,1292717,31659,85521,87438,81261,102830,1385516,774670,50533,137689,150307,116942,155375,709714,233479,27092,71399,83907,79423,214414,20576108
0400000US13,13,Georgia,1138236,489157,115747,69790,55259,1319,2773,3059,2961,4419,33052,17103,1210,3185,3942,3388,4224,12905,3620,365,920,1302,1650,5048,373410,649079,91354,43824,34600,895,1715,1791,2195,2628,32594,18408,1434,3287,2853,2747,3865,14936,5483,438,1774,1340,1388,4513,557725
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,57,38,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,14
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,125,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,85,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,14
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,75,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,169,92,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,63,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,91,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,162,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,26,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,99,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,18,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,52
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,10
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,47,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,79,38,27,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,162,87,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,75,18,7,7,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,57
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,323,124,62,55,40,0,15,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,62,199,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,193
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,188,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,43,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
