GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36
Id,Id2,Geography,Estimate; Total:,Estimate; 16 to 19 years:,Estimate; 16 to 19 years: - Worked in the past 12 months:,Estimate; 16 to 19 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 16 to 19 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 16 to 19 years: - Did not work in the past 12 months,Estimate; 20 to 24 years:,Estimate; 20 to 24 years: - Worked in the past 12 months:,Estimate; 20 to 24 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 20 to 24 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 20 to 24 years: - Did not work in the past 12 months,Estimate; 25 to 44 years:,Estimate; 25 to 44 years: - Worked in the past 12 months:,Estimate; 25 to 44 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 25 to 44 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 25 to 44 years: - Did not work in the past 12 months,Estimate; 45 to 54 years:,Estimate; 45 to 54 years: - Worked in the past 12 months:,Estimate; 45 to 54 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 45 to 54 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 45 to 54 years: - Did not work in the past 12 months,Estimate; 55 to 64 years:,Estimate; 55 to 64 years: - Worked in the past 12 months:,Estimate; 55 to 64 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 55 to 64 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 55 to 64 years: - Did not work in the past 12 months,Estimate; 65 to 69 years:,Estimate; 65 to 69 years: - Worked in the past 12 months:,Estimate; 65 to 69 years: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 65 to 69 years: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 65 to 69 years: - Did not work in the past 12 months,Estimate; 70 years and over:,Estimate; 70 years and over: - Worked in the past 12 months:,Estimate; 70 years and over: - Worked in the past 12 months: - Worked full-time year-round,Estimate; 70 years and over: - Worked in the past 12 months: - Worked less than full-time year-round,Estimate; 70 years and over: - Did not work in the past 12 months
0100000US,,United States,248775628,17312027,7308643,522006,6786637,10003384,22407472,17164182,6097294,11066888,5243290,83033222,68178701,46998300,21180401,14854521,44248186,35357019,25857888,9499131,8891167,38596760,25482486,17284124,8198362,13114274,13832906,4915797,2252211,2663586,8917109,29345055,3488772,1077793,2410979,25856283
0400000US13,13,Georgia,7693577,569674,196006,16142,179864,373668,713487,499370,181530,317840,214117,2741813,2187118,1539546,647572,554695,1396285,1079725,804771,274954,316560,1134082,699955,485975,213980,434127,404074,126144,62136,64008,277930,734162,80957,27723,53234,653205
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,940,149,61,0,61,88,94,94,44,50,0,444,324,173,151,120,138,111,91,20,27,58,37,26,11,21,57,11,6,5,46,0,0,0,0,0
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,945,186,5,5,0,181,70,57,31,26,13,310,288,150,138,22,174,133,60,73,41,154,98,71,27,56,40,15,15,0,25,11,0,0,0,11
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,608,111,5,0,5,106,100,30,0,30,70,280,200,142,58,80,66,55,55,0,11,51,51,10,41,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,1798,101,19,0,19,82,179,78,25,53,101,848,740,450,290,108,328,258,166,92,70,217,81,57,24,136,32,23,23,0,9,93,0,0,0,93
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,817,0,0,0,0,0,27,17,0,17,10,527,502,186,316,25,98,88,78,10,10,111,44,44,0,67,0,0,0,0,0,54,0,0,0,54
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,527,0,0,0,0,0,59,59,18,41,0,174,166,130,36,8,223,170,82,88,53,33,33,10,23,0,18,18,18,0,0,20,0,0,0,20
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,1268,146,9,0,9,137,92,85,64,21,7,699,629,400,229,70,210,137,117,20,73,93,86,32,54,7,14,14,0,14,0,14,0,0,0,14
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,943,68,15,0,15,53,172,148,132,16,24,468,395,230,165,73,86,79,65,14,7,74,53,12,41,21,21,0,0,0,21,54,0,0,0,54
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,775,27,0,0,0,27,62,62,0,62,0,281,234,184,50,47,106,68,25,43,38,130,55,55,0,75,47,0,0,0,47,122,14,14,0,108
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,1224,224,0,0,0,224,131,79,41,38,52,584,470,298,172,114,111,85,74,11,26,111,97,61,36,14,27,17,0,17,10,36,0,0,0,36
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,760,132,42,13,29,90,70,33,6,27,37,227,117,66,51,110,154,135,110,25,19,86,47,38,9,39,20,0,0,0,20,71,0,0,0,71
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,1298,130,0,0,0,130,127,73,24,49,54,435,337,154,183,98,434,190,162,28,244,10,0,0,0,10,68,0,0,0,68,94,10,0,10,84
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,767,64,26,0,26,38,169,127,127,0,42,306,191,125,66,115,132,75,61,14,57,52,52,52,0,0,12,0,0,0,12,32,0,0,0,32
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,916,40,0,0,0,40,32,32,0,32,0,437,158,54,104,279,217,191,147,44,26,91,60,31,29,31,13,0,0,0,13,86,18,0,18,68
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,899,41,0,0,0,41,22,22,22,0,0,558,272,244,28,286,194,111,111,0,83,39,0,0,0,39,8,8,0,8,0,37,0,0,0,37
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,380,0,0,0,0,0,0,0,0,0,0,320,225,173,52,95,28,28,28,0,0,0,0,0,0,0,8,0,0,0,8,24,0,0,0,24
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,598,14,0,0,0,14,0,0,0,0,0,315,263,185,78,52,67,67,50,17,0,155,0,0,0,155,11,0,0,0,11,36,0,0,0,36
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,1446,23,0,0,0,23,208,157,120,37,51,816,698,438,260,118,182,128,110,18,54,138,111,75,36,27,71,27,0,27,44,8,0,0,0,8
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,1198,148,32,0,32,116,255,122,65,57,133,565,505,335,170,60,133,123,101,22,10,66,43,43,0,23,17,0,0,0,17,14,14,14,0,0
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,1213,58,25,0,25,33,91,68,22,46,23,458,363,260,103,95,316,285,150,135,31,128,113,73,40,15,26,11,0,11,15,136,12,7,5,124
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,2036,196,0,0,0,196,146,88,24,64,58,695,501,357,144,194,407,350,232,118,57,269,180,114,66,89,107,61,40,21,46,216,7,0,7,209
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,1909,51,51,38,13,0,280,273,119,154,7,911,681,408,273,230,206,124,78,46,82,273,173,83,90,100,62,0,0,0,62,126,6,0,6,120
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,1170,30,2,0,2,28,15,15,12,3,0,534,440,261,179,94,232,198,121,77,34,144,48,23,25,96,63,19,19,0,44,152,11,11,0,141
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,642,43,19,7,12,24,53,37,0,37,16,283,232,127,105,51,135,74,45,29,61,60,47,37,10,13,30,4,0,4,26,38,0,0,0,38
