GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Private for-profit wage and salary workers:,Estimate; Male: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Male: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Male: - Private not-for-profit wage and salary workers,Estimate; Male: - Local government workers,Estimate; Male: - State government workers,Estimate; Male: - Federal government workers,Estimate; Male: - Self-employed in own not incorporated business workers,Estimate; Male: - Unpaid family workers,Estimate; Female:,Estimate; Female: - Private for-profit wage and salary workers:,Estimate; Female: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Female: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Female: - Private not-for-profit wage and salary workers,Estimate; Female: - Local government workers,Estimate; Female: - State government workers,Estimate; Female: - Federal government workers,Estimate; Female: - Self-employed in own not incorporated business workers,Estimate; Female: - Unpaid family workers
0100000US,,United States,143435233,75129000,56516007,52982083,3533924,3995735,4255774,2742422,2231294,5280487,107281,68306233,45344349,43902799,1441550,7606002,6105866,4016451,1651440,3470262,111863
0400000US13,13,Georgia,4300074,2234808,1713966,1590793,123173,92144,121458,75643,79251,148490,3856,2065266,1416766,1364440,52326,165698,192199,133892,63265,89698,3748
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,527,226,220,220,0,6,0,0,0,0,0,301,206,206,0,44,9,18,0,24,0
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,555,165,139,139,0,0,5,9,5,7,0,390,330,308,22,4,26,6,12,12,0
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,313,89,81,69,12,0,0,0,0,8,0,224,160,160,0,7,0,8,29,20,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,1083,462,382,382,0,8,31,15,2,24,0,621,421,421,0,29,23,37,45,66,0
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,453,182,182,182,0,0,0,0,0,0,0,271,212,212,0,49,10,0,0,0,0
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,326,287,275,275,0,0,0,12,0,0,0,39,21,21,0,0,0,18,0,0,0
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,849,408,283,257,26,87,0,0,25,13,0,441,380,380,0,48,13,0,0,0,0
1500000US130630403021,130630000000,Block Group 1 Census Tract 403.02 Clayton County Georgia,641,328,293,277,16,0,35,0,0,0,0,313,243,203,40,26,16,0,0,28,0
1500000US130630403022,130630000000,Block Group 2 Census Tract 403.02 Clayton County Georgia,421,207,188,188,0,0,0,0,0,5,14,214,154,141,13,0,7,6,0,47,0
1500000US130630403023,130630000000,Block Group 3 Census Tract 403.02 Clayton County Georgia,539,254,147,147,0,82,12,13,0,0,0,285,195,195,0,73,9,8,0,0,0
1500000US130630403024,130630000000,Block Group 4 Census Tract 403.02 Clayton County Georgia,302,179,172,151,21,0,7,0,0,0,0,123,108,108,0,5,10,0,0,0,0
1500000US130630403031,130630000000,Block Group 1 Census Tract 403.03 Clayton County Georgia,444,220,161,161,0,0,0,0,0,59,0,224,173,173,0,51,0,0,0,0,0
1500000US130630403032,130630000000,Block Group 2 Census Tract 403.03 Clayton County Georgia,365,149,102,102,0,34,0,0,0,13,0,216,197,197,0,0,0,19,0,0,0
1500000US130630403033,130630000000,Block Group 3 Census Tract 403.03 Clayton County Georgia,386,115,95,95,0,20,0,0,0,0,0,271,250,250,0,21,0,0,0,0,0
1500000US130630403034,130630000000,Block Group 4 Census Tract 403.03 Clayton County Georgia,395,64,64,64,0,0,0,0,0,0,0,331,185,185,0,0,81,65,0,0,0
1500000US130630403035,130630000000,Block Group 5 Census Tract 403.03 Clayton County Georgia,204,159,116,116,0,0,0,11,0,32,0,45,45,45,0,0,0,0,0,0,0
1500000US130630403036,130630000000,Block Group 6 Census Tract 403.03 Clayton County Georgia,308,153,144,144,0,0,9,0,0,0,0,155,74,74,0,0,81,0,0,0,0
1500000US130630403061,130630000000,Block Group 1 Census Tract 403.06 Clayton County Georgia,987,780,683,683,0,70,0,27,0,0,0,207,115,115,0,34,29,16,0,13,0
1500000US130630403062,130630000000,Block Group 2 Census Tract 403.06 Clayton County Georgia,704,375,365,340,25,0,0,10,0,0,0,329,271,271,0,44,14,0,0,0,0
1500000US130630403071,130630000000,Block Group 1 Census Tract 403.07 Clayton County Georgia,782,419,388,351,37,7,10,7,0,7,0,363,321,310,11,12,30,0,0,0,0
1500000US130630403072,130630000000,Block Group 2 Census Tract 403.07 Clayton County Georgia,1056,584,440,419,21,10,50,0,0,84,0,472,372,372,0,33,25,0,0,42,0
1500000US130630403081,130630000000,Block Group 1 Census Tract 403.08 Clayton County Georgia,1048,697,668,627,41,23,0,0,0,6,0,351,284,284,0,13,0,0,0,54,0
1500000US130630403082,130630000000,Block Group 2 Census Tract 403.08 Clayton County Georgia,664,413,336,336,0,15,19,8,0,35,0,251,196,196,0,0,25,26,0,4,0
1500000US130630403083,130630000000,Block Group 3 Census Tract 403.08 Clayton County Georgia,308,188,164,164,0,0,24,0,0,0,0,120,51,44,7,4,26,4,4,31,0
1500000US130630404071,130630000000,Block Group 1 Census Tract 404.07 Clayton County Georgia,981,524,428,428,0,30,21,0,16,29,0,457,404,404,0,9,25,0,6,13,0
1500000US130630404072,130630000000,Block Group 2 Census Tract 404.07 Clayton County Georgia,857,338,284,284,0,0,0,19,17,18,0,519,403,346,57,10,51,18,18,19,0
1500000US130630404081,130630000000,Block Group 1 Census Tract 404.08 Clayton County Georgia,771,330,245,206,39,0,85,0,0,0,0,441,405,334,71,36,0,0,0,0,0
1500000US130630404082,130630000000,Block Group 2 Census Tract 404.08 Clayton County Georgia,1576,848,638,638,0,82,51,11,9,57,0,728,562,562,0,87,41,0,19,19,0
1500000US130630404083,130630000000,Block Group 3 Census Tract 404.08 Clayton County Georgia,999,497,333,333,0,0,19,35,75,35,0,502,245,222,23,83,4,40,130,0,0
1500000US130630404091,130630000000,Block Group 1 Census Tract 404.09 Clayton County Georgia,1337,682,565,536,29,18,56,0,24,19,0,655,573,556,17,0,18,25,17,22,0
1500000US130630404092,130630000000,Block Group 2 Census Tract 404.09 Clayton County Georgia,1471,703,541,541,0,3,93,32,26,8,0,768,503,503,0,45,118,14,38,50,0
1500000US130630404101,130630000000,Block Group 1 Census Tract 404.10 Clayton County Georgia,1963,1223,739,737,2,147,36,10,77,214,0,740,487,487,0,20,47,148,24,14,0
1500000US130630404102,130630000000,Block Group 2 Census Tract 404.10 Clayton County Georgia,505,273,215,215,0,19,21,0,18,0,0,232,232,232,0,0,0,0,0,0,0
1500000US130630404111,130630000000,Block Group 1 Census Tract 404.11 Clayton County Georgia,1160,453,369,320,49,0,20,0,64,0,0,707,422,393,29,118,74,19,42,32,0
1500000US130630404112,130630000000,Block Group 2 Census Tract 404.11 Clayton County Georgia,926,378,307,307,0,0,0,0,32,39,0,548,370,370,0,42,20,57,59,0,0
1500000US130630404113,130630000000,Block Group 3 Census Tract 404.11 Clayton County Georgia,1313,712,512,494,18,31,116,0,0,53,0,601,295,295,0,59,0,195,52,0,0
1500000US130630404114,130630000000,Block Group 4 Census Tract 404.11 Clayton County Georgia,2542,1035,689,681,8,47,83,60,104,52,0,1507,929,922,7,125,304,65,62,22,0
1500000US130630404121,130630000000,Block Group 1 Census Tract 404.12 Clayton County Georgia,1137,583,499,499,0,17,0,29,0,38,0,554,495,495,0,42,11,6,0,0,0
1500000US130630404122,130630000000,Block Group 2 Census Tract 404.12 Clayton County Georgia,1504,606,552,504,48,0,0,0,47,7,0,898,572,572,0,99,29,50,74,74,0
1500000US130630404123,130630000000,Block Group 3 Census Tract 404.12 Clayton County Georgia,1085,609,357,344,13,26,90,27,71,38,0,476,283,283,0,55,85,0,0,53,0
1500000US130630404131,130630000000,Block Group 1 Census Tract 404.13 Clayton County Georgia,1476,704,502,502,0,74,27,0,15,86,0,772,673,673,0,0,50,16,0,33,0
1500000US130630404132,130630000000,Block Group 2 Census Tract 404.13 Clayton County Georgia,1750,778,517,517,0,46,39,74,63,39,0,972,668,668,0,57,161,45,27,14,0
