GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39,HD01_VD40,HD01_VD41,HD01_VD42,HD01_VD43,HD01_VD44,HD01_VD45,HD01_VD46,HD01_VD47,HD01_VD48,HD01_VD49,HD01_VD50,HD01_VD51,HD01_VD52,HD01_VD53,HD01_VD54,HD01_VD55,HD01_VD56,HD01_VD57,HD01_VD58,HD01_VD59,HD01_VD60,HD01_VD61,HD01_VD62,HD01_VD63,HD01_VD64,HD01_VD65,HD01_VD66
Id,Id2,Geography,Estimate; Total:,Estimate; Under 18 years:,Estimate; Under 18 years: - With one type of health insurance coverage:,Estimate; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; Under 18 years: - With two or more types of health insurance coverage:,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; Under 18 years: - No health insurance coverage,Estimate; 18 to 34 years:,Estimate; 18 to 34 years: - With one type of health insurance coverage:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage:,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years:,Estimate; 35 to 64 years: - With one type of health insurance coverage:,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage:,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Estimate; 65 years and over: - With one type of health insurance coverage:,Estimate; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 65 years and over: - With two or more types of health insurance coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and direct-purchase coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With direct-purchase and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other private only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other public only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other coverage combinations,Estimate; 65 years and over: - No health insurance coverage
0100000US,,United States,309082258,73636556,64310782,34605950,3684699,192520,24574645,1229805,23163,4108719,931466,24068,164687,362585,11324,2614589,5217055,71614032,50056898,35876032,5003669,198346,7931864,857860,189127,3430301,1293210,44072,360296,287388,31073,1414262,18126833,121960337,91359642,71069914,8306067,1966548,8087055,1156276,773782,10478514,2758437,703511,355954,2222362,644443,308797,3485010,20122181,41871333,11461661,870010,134776,10421023,11912,23940,29997610,37883,8607646,8270730,3509907,6037,885151,8680256,412062
0400000US13,13,Georgia,9712380,2485222,2144658,1059031,113128,9836,893649,68046,968,119436,27714,701,5306,19249,317,66149,221128,2270981,1421800,1049385,141755,6244,172982,45542,5892,104649,38066,1150,10129,15367,989,38948,744532,3847579,2694875,2134591,238786,73390,155426,63514,29168,353950,93337,22553,8120,69694,32089,8934,119223,798754,1108598,323740,20859,2883,298839,734,425,772292,759,221190,175248,101788,212,24041,249054,12566
1500000US130630402021,130630000000,Block Group 1 Census Tract 402.02 Clayton County Georgia,1280,414,388,19,0,0,369,0,0,26,0,0,0,0,0,26,0,477,201,93,0,10,98,0,0,79,0,0,0,32,15,32,197,332,156,87,13,8,48,0,0,76,0,0,0,36,0,0,40,100,57,0,0,0,0,0,0,57,0,14,0,43,0,0,0,0
1500000US130630402022,130630000000,Block Group 2 Census Tract 402.02 Clayton County Georgia,1307,508,495,223,9,0,263,0,0,0,0,0,0,0,0,0,13,318,217,129,21,13,54,0,0,0,0,0,0,0,0,0,101,430,261,234,19,0,4,0,4,20,0,0,0,0,0,0,20,149,51,19,16,0,3,0,0,32,0,6,26,0,0,0,0,0
1500000US130630402031,130630000000,Block Group 1 Census Tract 402.03 Clayton County Georgia,892,336,300,142,0,0,158,0,0,24,0,0,0,0,0,24,12,304,134,86,0,0,48,0,0,0,0,0,0,0,0,0,170,252,131,120,0,0,11,0,0,20,0,0,0,0,0,0,20,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US130630402032,130630000000,Block Group 2 Census Tract 402.03 Clayton County Georgia,2387,642,545,173,0,0,372,0,0,57,14,0,0,0,0,43,40,710,399,230,71,0,98,0,0,16,7,0,0,0,0,9,295,910,540,405,25,0,76,12,22,127,45,0,0,36,0,0,46,243,125,78,23,0,55,0,0,47,0,23,7,0,0,0,17,0
1500000US130630402041,130630000000,Block Group 1 Census Tract 402.04 Clayton County Georgia,1201,384,216,23,20,0,173,0,0,0,0,0,0,0,0,0,168,284,85,21,11,0,32,0,21,15,0,0,0,0,0,15,184,479,332,274,0,38,0,0,20,17,0,0,0,0,7,10,0,130,54,14,0,0,14,0,0,40,0,13,19,0,0,0,8,0
1500000US130630402042,130630000000,Block Group 2 Census Tract 402.04 Clayton County Georgia,691,164,50,0,0,0,50,0,0,0,0,0,0,0,0,0,114,121,18,0,0,0,18,0,0,0,0,0,0,0,0,0,103,368,254,214,17,15,8,0,0,12,12,0,0,0,0,0,0,102,38,25,18,0,7,0,0,13,0,0,0,13,0,0,0,0
1500000US130630402043,130630000000,Block Group 3 Census Tract 402.04 Clayton County Georgia,1771,628,384,115,0,0,224,45,0,0,0,0,0,0,0,0,244,413,205,162,13,0,8,0,22,0,0,0,0,0,0,0,208,702,434,358,63,0,13,0,0,94,0,0,0,46,9,0,39,174,28,9,0,0,9,0,0,19,0,5,14,0,0,0,0,0
