Descriptor, Region Unit, Variable Region Population, Variable Atlanta Population, Region Total Population, Atlanta Total Population
Under 5 years, Atlantic Station, 8.0, 27976, 2443.0, 440641
, Beltline, 2486.0, 27976, 42510.0, 440641
, Cambellton, 811.0, 27976, 9858.0, 440641
, Eastside, 323.0, 27976, 14311.0, 440641
, Hollowell MLK, 482.0, 27976, 4026.0, 440641
, Metropolitan Pkwy, 289.0, 27976, 4173.0, 440641
, Perry Bolton, 721.0, 27976, 6764.0, 440641
, Princeton Lakes, 191.0, 27976, 2585.0, 440641
, Stadium, 194.0, 27976, 2339.0, 440641
, Westside, 624.0, 27976, 10934.0, 440641
5 to 9 years, Atlantic Station, 18.0, 22336, 2443.0, 440641
, Beltline, 1686.0, 22336, 42510.0, 440641
, Cambellton, 535.0, 22336, 9858.0, 440641
, Eastside, 220.0, 22336, 14311.0, 440641
, Hollowell MLK, 277.0, 22336, 4026.0, 440641
, Metropolitan Pkwy, 208.0, 22336, 4173.0, 440641
, Perry Bolton, 468.0, 22336, 6764.0, 440641
, Princeton Lakes, 164.0, 22336, 2585.0, 440641
, Stadium, 112.0, 22336, 2339.0, 440641
, Westside, 378.0, 22336, 10934.0, 440641
10 to 14 years, Atlantic Station, 33.0, 21576, 2443.0, 440641
, Beltline, 1512.0, 21576, 42510.0, 440641
, Cambellton, 627.0, 21576, 9858.0, 440641
, Eastside, 135.0, 21576, 14311.0, 440641
, Hollowell MLK, 295.0, 21576, 4026.0, 440641
, Metropolitan Pkwy, 281.0, 21576, 4173.0, 440641
, Perry Bolton, 274.0, 21576, 6764.0, 440641
, Princeton Lakes, 284.0, 21576, 2585.0, 440641
, Stadium, 98.0, 21576, 2339.0, 440641
, Westside, 347.0, 21576, 10934.0, 440641
15 to 17 years, Atlantic Station, 32.0, 10960, 2443.0, 440641
, Beltline, 782.0, 10960, 42510.0, 440641
, Cambellton, 292.0, 10960, 9858.0, 440641
, Eastside, 96.0, 10960, 14311.0, 440641
, Hollowell MLK, 132.0, 10960, 4026.0, 440641
, Metropolitan Pkwy, 106.0, 10960, 4173.0, 440641
, Perry Bolton, 246.0, 10960, 6764.0, 440641
, Princeton Lakes, 1.0, 10960, 2585.0, 440641
, Stadium, 100.0, 10960, 2339.0, 440641
, Westside, 213.0, 10960, 10934.0, 440641
18 and 19 years, Atlantic Station, 180.0, 18111, 2443.0, 440641
, Beltline, 1462.0, 18111, 42510.0, 440641
, Cambellton, 210.0, 18111, 9858.0, 440641
, Eastside, 1475.0, 18111, 14311.0, 440641
, Hollowell MLK, 135.0, 18111, 4026.0, 440641
, Metropolitan Pkwy, 189.0, 18111, 4173.0, 440641
, Perry Bolton, 193.0, 18111, 6764.0, 440641
, Princeton Lakes, 71.0, 18111, 2585.0, 440641
, Stadium, 116.0, 18111, 2339.0, 440641
, Westside, 759.0, 18111, 10934.0, 440641
20 years, Atlantic Station, 225.0, 10586, 2443.0, 440641
, Beltline, 1184.0, 10586, 42510.0, 440641
, Cambellton, 161.0, 10586, 9858.0, 440641
, Eastside, 1297.0, 10586, 14311.0, 440641
, Hollowell MLK, 74.0, 10586, 4026.0, 440641
, Metropolitan Pkwy, 72.0, 10586, 4173.0, 440641
